,code,name,gender,country_x,discipline,event,age,medal_type,team_code,num_athletes
877,1544928,ESMAEILI LEIVESI Saeid,Male,IR Iran,Wrestling,Mens Greco-Roman 67kg,21,Gold Medal,,
888,1545116,CLOUVEL Elodie,Female,France,Modern Pentathlon,Womens Individual,35,Silver Medal,,
899,1545464,SINGH Sarabjot,Male,India,Shooting,10m Air Pistol Mixed Team,23,Bronze Medal,SHOXAPMT----IND01,2.0
912,1545688,NEMOUR Kaylia,Female,Algeria,Artistic Gymnastics,Womens Uneven Bars,18,Gold Medal,,
960,1546651,GRIGALASHVILI Tato,Male,Georgia,Judo,Men -81 kg,25,Silver Medal,,
979,1547863,CHIUMENTO Luca,Male,Italy,Rowing,Mens Quadruple Sculls,27,Silver Medal,ROWMSCULL4--ITA01,4.0
982,1547870,OPPO Stefano,Male,Italy,Rowing,Lightweight Mens Double Sculls,30,Silver Medal,ROWMSCULL2-LITA01,2.0
983,1547871,PANIZZA Andrea,Male,Italy,Rowing,Mens Quadruple Sculls,26,Silver Medal,ROWMSCULL4--ITA01,4.0
984,1547873,SOARES Gabriel,Male,Italy,Rowing,Lightweight Mens Double Sculls,27,Silver Medal,ROWMSCULL2-LITA01,2.0
1011,1548401,CISSE Cheick Sallah,Male,Côte d'Ivoire,Taekwondo,Men +80kg,31,Bronze Medal,,
1026,1548817,BEKAURI Lasha,Male,Georgia,Judo,Men -90 kg,24,Gold Medal,,
1036,1548868,TACCHINI Carlo,Male,Italy,Canoe Sprint,Mens Canoe Double 500m,29,Silver Medal,CSPMC2-500M-ITA01,2.0
1037,1548871,CASADEI Gabriele,Male,Italy,Canoe Sprint,Mens Canoe Double 500m,22,Silver Medal,CSPMC2-500M-ITA01,2.0
1044,1548948,KALEYN Boryana,Female,Bulgaria,Rhythmic Gymnastics,Individual All-Around,24,Silver Medal,,
1089,1550116,BELENIUK Zhan,Male,Ukraine,Wrestling,Mens Greco-Roman 87kg,33,Bronze Medal,,
1090,1550119,NASIBOV Parviz,Male,Ukraine,Wrestling,Mens Greco-Roman 67kg,26,Silver Medal,,
1091,1550148,CAMBEI Mihaela Valentina,Female,Romania,Weightlifting,Womens 49kg,22,Silver Medal,,
1094,1550162,KRASNIQI Distria,Female,Kosovo,Judo,Women -52 kg,29,Silver Medal,,
1096,1550167,FAZLIU Laura,Female,Kosovo,Judo,Women -63 kg,24,Bronze Medal,,
1102,1550170,BARBOSU Ana,Female,Romania,Artistic Gymnastics,Womens Floor Exercise,18,Bronze Medal,,
1120,1550184,GURULI Lasha,Male,Georgia,Boxing,Mens 63.5kg,28,Bronze Medal,,
1141,1550250,CHOPRA Neeraj,Male,India,Athletics,Mens Javelin Throw,27,Silver Medal,,
1145,1550285,ADAM Adriana,Female,Romania,Rowing,Womens Eight,25,Gold Medal,ROWWCOXED8--ROU01,9.0
1147,1550289,ANGHEL Roxana,Female,Romania,Rowing,Womens Eight,26,Gold Medal,ROWWCOXED8--ROU01,9.0
1148,1550289,ANGHEL Roxana,Female,Romania,Rowing,Womens Pair,26,Silver Medal,ROWWNOCOX2--ROU01,2.0
1149,1550294,BERES Amalia,Female,Romania,Rowing,Womens Eight,27,Gold Medal,ROWWCOXED8--ROU01,9.0
1151,1550295,TARNOVSCHI Serghei,Male,Republic of Moldova,Canoe Sprint,Mens Canoe Single 1000m,27,Bronze Medal,,
1154,1550303,BODNAR Ancuta,Female,Romania,Rowing,Womens Eight,26,Gold Medal,ROWWCOXED8--ROU01,9.0
1155,1550303,BODNAR Ancuta,Female,Romania,Rowing,Womens Double Sculls,26,Silver Medal,ROWWSCULL2--ROU01,2.0
1164,1550384,COZMIUC Ionela Livia,Female,Romania,Rowing,Lightweight Womens Double Sculls,29,Silver Medal,ROWWSCULL2-LROU01,2.0
1166,1550437,LEHACI Maria,Female,Romania,Rowing,Womens Eight,25,Gold Medal,ROWWCOXED8--ROU01,9.0
