,code,name,gender,country_x,discipline,event,age,medal_type,team_code,num_athletes
5222,1899846,LAGHOUAG Karim Florent,Male,France,Equestrian,Eventing Team,49,Silver Medal,EQUOEVENTEAMFRA01,4.0
5224,1899847,LANDOIS Stephane,Male,France,Equestrian,Eventing Team,30,Silver Medal,EQUOEVENTEAMFRA01,4.0
5226,1899848,le COZ Gireg,Male,France,Equestrian,Eventing Team,35,Silver Medal,EQUOEVENTEAMFRA01,4.0
5227,1899856,PERREAU Olivier,Male,France,Equestrian,Jumping Team,38,Bronze Medal,EQUOJUMPTEAMFRA01,4.0
5232,1899866,TOUZAINT Nicolas,Male,France,Equestrian,Eventing Team,44,Silver Medal,EQUOEVENTEAMFRA01,4.0
5234,1900397,DIAZ de ARMAS Zoe,Female,Argentina,Hockey,Women,18,Bronze Medal,HOCWTEAM11--ARG01,16.0
5247,1900626,AKLIOUCHE Maghnes,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5248,1900641,CHERKI Rayan,Male,France,Football,Men,21,Silver Medal,FBLMTEAM11--FRA01,21.0
5249,1900644,CHOTARD Joris,Male,France,Football,Men,23,Silver Medal,FBLMTEAM11--FRA01,21.0
5250,1900651,DIOUF Andy,Male,France,Football,Men,21,Silver Medal,FBLMTEAM11--FRA01,21.0
5251,1900653,DOUE Desire,Male,France,Football,Men,19,Silver Medal,FBLMTEAM11--FRA01,21.0
5252,1900668,KALIMUENDO Arnaud,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5253,1900672,KONE Manu,Male,France,Football,Men,23,Silver Medal,FBLMTEAM11--FRA01,21.0
5254,1900674,LACAZETTE Alexandre,Male,France,Football,Men,33,Silver Medal,FBLMTEAM11--FRA01,21.0
5255,1900680,LEPENANT Johann,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5256,1900682,LOCKO Bradley,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5257,1900683,LUKEBA Castello,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5258,1900684,MAGASSA Soungoutou,Male,France,Football,Men,21,Silver Medal,FBLMTEAM11--FRA01,21.0
5259,1900690,MATSIMA Chrislain,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5260,1900694,MILLOT Enzo,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5261,1900695,NKAMBADIO Obed,Male,France,Football,Men,21,Silver Medal,FBLMTEAM11--FRA01,21.0
5262,1900699,OLISE Michael,Male,France,Football,Men,23,Silver Medal,FBLMTEAM11--FRA01,21.0
5263,1900702,RESTES Guillaume,Male,France,Football,Men,19,Silver Medal,FBLMTEAM11--FRA01,21.0
5264,1900709,SILDILLIA Kiliann,Male,France,Football,Men,22,Silver Medal,FBLMTEAM11--FRA01,21.0
5265,1900718,TRUFFERT Adrien,Male,France,Football,Men,23,Silver Medal,FBLMTEAM11--FRA01,21.0
5267,1900838,DALEY Thomas,Male,Great Britain,Diving,Mens Synchronised 10m Platform,30,Silver Medal,DIVM10MTEAM2GBR01,2.0
5268,1900840,HARDING Anthony,Male,Great Britain,Diving,Mens Synchronised 3m Springboard,24,Bronze Medal,DIVM3MTEAM2-GBR01,2.0
5270,1900841,HARPER Yasmin,Female,Great Britain,Diving,Womens Synchronised 3m Springboard,24,Bronze Medal,DIVW3MTEAM2-GBR01,2.0
5274,1900848,LAUGHER Jack,Male,Great Britain,Diving,Mens Synchronised 3m Springboard,29,Bronze Medal,DIVM3MTEAM2-GBR01,2.0
5277,1900855,SPENDOLINI SIRIEIX Andrea,Female,Great Britain,Diving,Womens Synchronised 10m Platform,20,Bronze Medal,DIVW10MTEAM2GBR01,2.0
5279,1900856,TOULSON Lois,Female,Great Britain,Diving,Womens Synchronised 10m Platform,25,Bronze Medal,DIVW10MTEAM2GBR01,2.0
5280,1900857,WILLIAMS Noah,Male,Great Britain,Diving,Mens 10m Platform,24,Bronze Medal,,
5281,1900857,WILLIAMS Noah,Male,Great Britain,Diving,Mens Synchronised 10m Platform,24,Silver Medal,DIVM10MTEAM2GBR01,2.0
5284,1901025,ALDRIDGE Matt,Male,Great Britain,Rowing,Mens Four,28,Bronze Medal,ROWMNOCOX4--GBR01,4.0
5285,1901026,AMBLER David,Male,Great Britain,Rowing,Mens Four,27,Bronze Medal,ROWMNOCOX4--GBR01,4.0
5286,1901027,ANDERSON Lola,Female,Great Britain,Rowing,Womens Quadruple Sculls,26,Gold Medal,ROWWSCULL4--GBR01,4.0
5287,1901028,GLOVER Helen,Female,Great Britain,Rowing,Womens Four,38,Silver Medal,ROWWNOCOX4--GBR01,4.0
5289,1901036,BOLDING Morgan,Male,Great Britain,Rowing,Mens Eight,29,Gold Medal,ROWMCOXED8--GBR01,9.0
5290,1901037,BOOTH Esme,Female,Great Britain,Rowing,Womens Four,26,Silver Medal,ROWWNOCOX4--GBR01,4.0
5291,1901039,BRAYSHAW Georgina,Female,Great Britain,Rowing,Womens Quadruple Sculls,31,Gold Medal,ROWWSCULL4--GBR01,4.0
5293,1901041,BRIGHTMORE Harry,Male,Great Britain,Rowing,Mens Eight,30,Gold Medal,ROWMCOXED8--GBR01,9.0
5294,1901044,CAMPBELL-ORDE Annie,Female,Great Britain,Rowing,Womens Eight,29,Bronze Medal,ROWWCOXED8--GBR01,9.0
5295,1901045,CARNEGIE Sholto,Male,Great Britain,Rowing,Mens Eight,29,Gold Medal,ROWMCOXED8--GBR01,9.0
5296,1901048,CRAIG Emily,Female,Great Britain,Rowing,Lightweight Womens Double Sculls,32,Gold Medal,ROWWSCULL2-LGBR01,2.0
5297,1901050,DAVIDSON Freddie,Male,Great Britain,Rowing,Mens Four,26,Bronze Medal,ROWMNOCOX4--GBR01,4.0
5298,1901051,DAWSON Jacob,Male,Great Britain,Rowing,Mens Eight,31,Gold Medal,ROWMCOXED8--GBR01,9.0
5299,1901056,DIGBY Tom,Male,Great Britain,Rowing,Mens Eight,26,Gold Medal,ROWMCOXED8--GBR01,9.0
5301,1901059,DUNFORD Holly,Female,Great Britain,Rowing,Womens Eight,25,Bronze Medal,ROWWCOXED8--GBR01,9.0
5303,1901062,ELWES Charles,Male,Great Britain,Rowing,Mens Eight,27,Gold Medal,ROWMCOXED8--GBR01,9.0
5304,1901063,FIELDMAN Henry,Male,Great Britain,Rowing,Womens Eight,36,Bronze Medal,ROWWCOXED8--GBR01,9.0
5305,1901064,FORD Tom,Male,Great Britain,Rowing,Mens Eight,32,Gold Medal,ROWMCOXED8--GBR01,9.0
5306,1901065,FORD Emily,Female,Great Britain,Rowing,Womens Eight,30,Bronze Medal,ROWWCOXED8--GBR01,9.0
5307,1901066,GEORGE Tom,Male,Great Britain,Rowing,Mens Pair,30,Silver Medal,ROWMNOCOX2--GBR01,2.0
5308,1901068,GIBBS Rory,Male,Great Britain,Rowing,Mens Eight,30,Gold Medal,ROWMCOXED8--GBR01,9.0
5309,1901071,GRANT Imogen,Female,Great Britain,Rowing,Lightweight Womens Double Sculls,28,Gold Medal,ROWWSCULL2-LGBR01,2.0
5311,1901074,HENRY Lauren,Female,Great Britain,Rowing,Womens Quadruple Sculls,23,Gold Medal,ROWWSCULL4--GBR01,4.0
5312,1901075,HODGKINS BYRNE Mathilda,Female,Great Britain,Rowing,Womens Double Sculls,30,Bronze Medal,ROWWSCULL2--GBR01,2.0
5313,1901077,IRWIN Lauren,Female,Great Britain,Rowing,Womens Eight,26,Bronze Medal,ROWWCOXED8--GBR01,9.0
5314,1901079,LONG Heidi,Female,Great Britain,Rowing,Womens Eight,28,Bronze Medal,ROWWCOXED8--GBR01,9.0
5315,1901080,McKELLAR Rowan,Female,Great Britain,Rowing,Womens Eight,30,Bronze Medal,ROWWCOXED8--GBR01,9.0
5316,1901086,REDGRAVE Sam,Female,Great Britain,Rowing,Womens Four,30,Silver Medal,ROWWNOCOX4--GBR01,4.0
5317,1901089,RUDKIN James,Male,Great Britain,Rowing,Mens Eight,30,Gold Medal,ROWMCOXED8--GBR01,9.0
5318,1901091,SCOTT Hannah,Female,Great Britain,Rowing,Womens Quadruple Sculls,25,Gold Medal,ROWWSCULL4--GBR01,4.0
5319,1901092,SHORTEN Rebecca,Female,Great Britain,Rowing,Womens Four,31,Silver Medal,ROWWNOCOX4--GBR01,4.0
5320,1901094,STEWART Eve,Female,Great Britain,Rowing,Womens Eight,26,Bronze Medal,ROWWCOXED8--GBR01,9.0
5321,1901096,TAYLOR Harriet,Female,Great Britain,Rowing,Womens Eight,30,Bronze Medal,ROWWCOXED8--GBR01,9.0
5323,1901099,WILDE Rebecca,Female,Great Britain,Rowing,Womens Double Sculls,27,Bronze Medal,ROWWSCULL2--GBR01,2.0
5324,1901100,WILKES Oliver,Male,Great Britain,Rowing,Mens Four,29,Bronze Medal,ROWMNOCOX4--GBR01,4.0
5325,1901101,WYNNE-GRIFFITH Oliver,Male,Great Britain,Rowing,Mens Pair,30,Silver Medal,ROWMNOCOX2--GBR01,2.0
5326,1901251,BROADBELL Rasheed,Male,Jamaica,Athletics,Mens 110m Hurdles,24,Bronze Medal,,
5330,1901284,TOLA Tamirat,Male,Ethiopia,Athletics,Mens Marathon,33,Gold Medal,,
5338,1901333,MACHAC Tomas,Male,Czechia,Tennis,Mixed Doubles,24,Gold Medal,TENXDOUBLES-CZE01,2.0
5347,1901342,SINIAKOVA Katerina,Female,Czechia,Tennis,Mixed Doubles,28,Gold Medal,TENXDOUBLES-CZE01,2.0
5351,1901487,ASSEFA Tigst,Female,Ethiopia,Athletics,Womens Marathon,28,Silver Medal,,
5357,1901538,CHEN Yiwen,Female,China,Diving,Womens 3m Springboard,25,Gold Medal,,
5358,1901538,CHEN Yiwen,Female,China,Diving,Womens Synchronised 3m Springboard,25,Gold Medal,DIVW3MTEAM2-CHN01,2.0
5359,1901539,CHANG Yani,Female,China,Diving,Womens 3m Springboard,23,Bronze Medal,,
5360,1901539,CHANG Yani,Female,China,Diving,Womens Synchronised 3m Springboard,23,Gold Medal,DIVW3MTEAM2-CHN01,2.0
5361,1901544,CHEN Yuxi,Female,China,Diving,Womens 10m Platform,19,Silver Medal,,
5362,1901544,CHEN Yuxi,Female,China,Diving,Womens Synchronised 10m Platform,19,Gold Medal,DIVW10MTEAM2CHN01,2.0
5363,1901545,QUAN Hongchan,Female,China,Diving,Womens 10m Platform,17,Gold Medal,,
5364,1901545,QUAN Hongchan,Female,China,Diving,Womens Synchronised 10m Platform,17,Gold Medal,DIVW10MTEAM2CHN01,2.0
5365,1901549,WANG Zongyuan,Male,China,Diving,Mens 3m Springboard,23,Silver Medal,,
5366,1901549,WANG Zongyuan,Male,China,Diving,Mens Synchronised 3m Springboard,23,Gold Medal,DIVM3MTEAM2-CHN01,2.0
5367,1901550,XIE Siyi,Male,China,Diving,Mens 3m Springboard,28,Gold Medal,,
5368,1901551,LONG Daoyi,Male,China,Diving,Mens Synchronised 3m Springboard,21,Gold Medal,DIVM3MTEAM2-CHN01,2.0
5370,1901554,YANG Hao,Male,China,Diving,Mens Synchronised 10m Platform,26,Gold Medal,DIVM10MTEAM2CHN01,2.0
5371,1901555,LIAN Junjie,Male,China,Diving,Mens Synchronised 10m Platform,24,Gold Medal,DIVM10MTEAM2CHN01,2.0
5372,1901556,CAO Yuan,Male,China,Diving,Mens 10m Platform,29,Gold Medal,,
5459,1902055,YOSHIZAWA Coco,Female,Japan,Skateboarding,Womens Street,15,Gold Medal,,
5463,1902069,AKAMA Liz,Female,Japan,Skateboarding,Womens Street,15,Silver Medal,,
5464,1902075,HIRAKI Cocona,Female,Japan,Skateboarding,Womens Park,16,Silver Medal,,
5468,1902081,HORIGOME Yuto,Male,Japan,Skateboarding,Mens Street,25,Gold Medal,,
5472,1902121,JEON Hunyoung,Female,Korea,Archery,Womens Team,30,Gold Medal,ARCWTEAM3---KOR01,3.0
5474,1902130,KIM Je Deok,Male,Korea,Archery,Mens Team,20,Gold Medal,ARCMTEAM3---KOR01,3.0
5475,1902135,KIM Woojin,Male,Korea,Archery,Mens Individual,32,Gold Medal,,
5476,1902135,KIM Woojin,Male,Korea,Archery,Mens Team,32,Gold Medal,ARCMTEAM3---KOR01,3.0
5477,1902135,KIM Woojin,Male,Korea,Archery,Mixed Team,32,Gold Medal,ARCXTEAM2---KOR01,2.0
5478,1902144,LEE Wooseok,Male,Korea,Archery,Mens Individual,27,Bronze Medal,,
5479,1902144,LEE Wooseok,Male,Korea,Archery,Mens Team,27,Gold Medal,ARCMTEAM3---KOR01,3.0
5480,1902147,LIM Sihyeon,Female,Korea,Archery,Womens Individual,21,Gold Medal,,
5481,1902147,LIM Sihyeon,Female,Korea,Archery,Womens Team,21,Gold Medal,ARCWTEAM3---KOR01,3.0
5482,1902147,LIM Sihyeon,Female,Korea,Archery,Mixed Team,21,Gold Medal,ARCXTEAM2---KOR01,2.0
5483,1902148,NAM Suhyeon,Female,Korea,Archery,Womens Individual,19,Silver Medal,,
5484,1902148,NAM Suhyeon,Female,Korea,Archery,Womens Team,19,Gold Medal,ARCWTEAM3---KOR01,3.0
5489,1902295,FAN Zhendong,Male,China,Table Tennis,Mens Singles,27,Gold Medal,,
5490,1902295,FAN Zhendong,Male,China,Table Tennis,Mens Team,27,Gold Medal,TTEMTEAM----CHN01,3.0
5491,1902300,MA Long,Male,China,Table Tennis,Mens Team,36,Gold Medal,TTEMTEAM----CHN01,3.0
5493,1902301,WANG Chuqin,Male,China,Table Tennis,Mens Team,24,Gold Medal,TTEMTEAM----CHN01,3.0
5494,1902301,WANG Chuqin,Male,China,Table Tennis,Mixed Doubles,24,Gold Medal,TTEXDOUBLES-CHN01,2.0
5495,1902307,CHEN Meng,Female,China,Table Tennis,Womens Singles,30,Gold Medal,,
5496,1902307,CHEN Meng,Female,China,Table Tennis,Womens Team,30,Gold Medal,TTEWTEAM----CHN01,3.0
5497,1902313,SUN Yingsha,Female,China,Table Tennis,Womens Singles,24,Silver Medal,,
5498,1902313,SUN Yingsha,Female,China,Table Tennis,Womens Team,24,Gold Medal,TTEWTEAM----CHN01,3.0
5499,1902313,SUN Yingsha,Female,China,Table Tennis,Mixed Doubles,24,Gold Medal,TTEXDOUBLES-CHN01,2.0
5500,1902314,WANG Manyu,Female,China,Table Tennis,Womens Team,25,Gold Medal,TTEWTEAM----CHN01,3.0
5505,1902450,BETLEHEM David,Male,Hungary,Marathon Swimming,Mens 10km,21,Bronze Medal,,
5557,1902786,TYNYBEKOVA Aisuluu,Female,Kyrgyzstan,Wrestling,Womens Freestyle 62kg,31,Bronze Medal,,
5558,1902787,ANDREEV Bozhidar Dimitrov,Male,Bulgaria,Weightlifting,Mens 73kg,27,Bronze Medal,,
5565,1902841,WONGPATTANAKIT Panipak,Female,Thailand,Taekwondo,Women -49kg,27,Gold Medal,,
5570,1902869,BIENIEK Mateusz,Male,Poland,Volleyball,Men,30,Silver Medal,VVOMTEAM6---POL01,13.0
5571,1902870,BOLADZ Bartlomiej,Male,Poland,Volleyball,Men,30,Silver Medal,VVOMTEAM6---POL01,13.0
5572,1902875,FORNAL Tomasz,Male,Poland,Volleyball,Men,27,Silver Medal,VVOMTEAM6---POL01,13.0
5573,1902880,HUBER Norbert,Male,Poland,Volleyball,Men,26,Silver Medal,VVOMTEAM6---POL01,13.0
5574,1902881,JANUSZ Marcin,Male,Poland,Volleyball,Men,30,Silver Medal,VVOMTEAM6---POL01,13.0
5575,1902882,KACZMAREK Lukasz,Male,Poland,Volleyball,Men,30,Silver Medal,VVOMTEAM6---POL01,13.0
5576,1902886,KOCHANOWSKI Jakub,Male,Poland,Volleyball,Men,27,Silver Medal,VVOMTEAM6---POL01,13.0
5577,1902890,KUREK Bartosz,Male,Poland,Volleyball,Men,36,Silver Medal,VVOMTEAM6---POL01,13.0
5578,1902892,LEON VENERO Wilfredo,Male,Poland,Volleyball,Men,31,Silver Medal,VVOMTEAM6---POL01,13.0
5579,1902893,LOMACZ Grzegorz,Male,Poland,Volleyball,Men,37,Silver Medal,VVOMTEAM6---POL01,13.0
5580,1902901,SEMENIUK Kamil,Male,Poland,Volleyball,Men,28,Silver Medal,VVOMTEAM6---POL01,13.0
5581,1902902,SLIWKA Aleksander,Male,Poland,Volleyball,Men,29,Silver Medal,VVOMTEAM6---POL01,13.0
5582,1902910,ZATORSKI Pawel,Male,Poland,Volleyball,Men,34,Silver Medal,VVOMTEAM6---POL01,13.0
5593,1903011,NASAR Karlos May,Male,Bulgaria,Weightlifting,Mens 89kg,20,Gold Medal,,
5604,1903112,THIAM Nafissatou,Female,Belgium,Athletics,Womens Heptathlon,30,Gold Medal,,
5608,1903120,KOPECKY Lotte,Female,Belgium,Cycling Road,Womens Road Race,29,Bronze Medal,,
5619,1903136,EVENEPOEL Remco,Male,Belgium,Cycling Road,Mens Road Race,24,Gold Medal,,
5620,1903136,EVENEPOEL Remco,Male,Belgium,Cycling Road,Mens Individual Time Trial,24,Gold Medal,,
5623,1903147,van AERT Wout,Male,Belgium,Cycling Road,Mens Individual Time Trial,30,Bronze Medal,,
5704,1903248,WILLEMS Gabriella,Female,Belgium,Judo,Women -70 kg,27,Bronze Medal,,
5717,1903284,CHAARI Sarah,Female,Belgium,Taekwondo,Women -67kg,19,Bronze Medal,,
5775,1903531,BIRD Kieran,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,25,Gold Medal,SWMM4X200MFRGBR01,6.0
5786,1903546,DEAN Tom,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,24,Gold Medal,SWMM4X200MFRGBR01,6.0
5789,1903552,GUY James,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,29,Gold Medal,SWMM4X200MFRGBR01,6.0
5806,1903602,McMILLAN Jack,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,24,Gold Medal,SWMM4X200MFRGBR01,6.0
5813,1903616,PROUD Benjamin,Male,Great Britain,Swimming,Mens 50m Freestyle,30,Silver Medal,,
5815,1903617,RICHARDS Matthew,Male,Great Britain,Swimming,Mens 200m Freestyle,22,Silver Medal,,
5818,1903617,RICHARDS Matthew,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,22,Gold Medal,SWMM4X200MFRGBR01,6.0
5820,1903621,SCOTT Duncan,Male,Great Britain,Swimming,Mens 200m Individual Medley,27,Silver Medal,,
5823,1903621,SCOTT Duncan,Male,Great Britain,Swimming,Mens 4 x 200m Freestyle Relay,27,Gold Medal,SWMM4X200MFRGBR01,6.0
5850,1904038,KIM Yujin,Female,Korea,Taekwondo,Women -57kg,24,Gold Medal,,
5851,1904039,LEE Dabin,Female,Korea,Taekwondo,Women +67kg,28,Bronze Medal,,
5852,1904040,PARK Taejoon,Male,Korea,Taekwondo,Men -58kg,20,Gold Medal,,
5867,1904099,DIAZ FORTUN Jordan Alejandro,Male,Spain,Athletics,Mens Triple Jump,23,Gold Medal,,
5887,1904165,MARTIN Alvaro,Male,Spain,Athletics,Mens 20km Race Walk,30,Bronze Medal,,
5888,1904165,MARTIN Alvaro,Male,Spain,Athletics,Marathon Race Walk Relay Mixed,30,Gold Medal,ATHX42KWALKTESP02,2.0
5908,1904244,POTTER Beth,Female,Great Britain,Triathlon,Womens Individual,33,Bronze Medal,,
5911,1904251,YEE Alex,Male,Great Britain,Triathlon,Mens Individual,26,Gold Medal,,
5942,1904430,HALES Nathan,Male,Great Britain,Shooting,Trap Men,28,Gold Medal,,
5989,1904740,HEPWORTH Harry,Male,Great Britain,Artistic Gymnastics,Mens Vault,21,Bronze Medal,,
5993,1904741,JARMAN Jake,Male,Great Britain,Artistic Gymnastics,Mens Floor Exercise,23,Bronze Medal,,
6006,1904745,PAGE Bryony,Female,Great Britain,Trampoline Gymnastics,Women,34,Gold Medal,,
6028,1904977,KOS Hubert,Male,Hungary,Swimming,Mens 200m Backstroke,21,Gold Medal,,
6050,1905347,KONTIDES Pavlos,Male,Cyprus,Sailing,Mens Dinghy,34,Silver Medal,,
6052,1905369,PEREZ Maria,Female,Spain,Athletics,Womens 20km Race Walk,28,Silver Medal,,
6053,1905369,PEREZ Maria,Female,Spain,Athletics,Marathon Race Walk Relay Mixed,28,Gold Medal,ATHX42KWALKTESP02,2.0
6084,1905860,MILAK Kristof,Male,Hungary,Swimming,Mens 100m Butterfly,24,Gold Medal,,
6085,1905860,MILAK Kristof,Male,Hungary,Swimming,Mens 200m Butterfly,24,Silver Medal,,
6128,1906483,GREITEN Pia,Female,Germany,Rowing,Womens Quadruple Sculls,27,Bronze Medal,ROWWSCULL4--GER01,4.0
6132,1906494,MENZEL Leonie,Female,Germany,Rowing,Womens Quadruple Sculls,25,Bronze Medal,ROWWSCULL4--GER01,4.0
6135,1906506,SCHENDEKEHL Tabea,Female,Germany,Rowing,Womens Quadruple Sculls,26,Bronze Medal,ROWWSCULL4--GER01,4.0
6138,1906511,VOELZ Maren,Female,Germany,Rowing,Womens Quadruple Sculls,25,Bronze Medal,ROWWSCULL4--GER01,4.0
6142,1906515,ZEIDLER Oliver,Male,Germany,Rowing,Mens Single Sculls,28,Gold Medal,,
6168,1907171,GOSE Isabel,Female,Germany,Swimming,Womens 1500m Freestyle,22,Bronze Medal,,
6196,1907192,MAERTENS Lukas,Male,Germany,Swimming,Mens 400m Freestyle,23,Gold Medal,,
6226,1907234,KLEMET Oliver,Male,Germany,Marathon Swimming,Mens 10km,22,Silver Medal,,
6279,1908195,DOLGOPYAT Artem,Male,Israel,Artistic Gymnastics,Mens Floor Exercise,27,Silver Medal,,
6288,1908226,BAKANOV Shani,Female,Israel,Rhythmic Gymnastics,Group All-Around,18,Silver Medal,GRYW5AA-----ISR01,5.0
6290,1908230,SVERTSOV Diana,Female,Israel,Rhythmic Gymnastics,Group All-Around,20,Silver Medal,GRYW5AA-----ISR01,5.0
6293,1908233,PARITZKI Romi,Female,Israel,Rhythmic Gymnastics,Group All-Around,20,Silver Medal,GRYW5AA-----ISR01,5.0
6294,1908235,SHAHAM Ofir,Female,Israel,Rhythmic Gymnastics,Group All-Around,20,Silver Medal,GRYW5AA-----ISR01,5.0
6296,1908240,FRIEDMANN Adar,Female,Israel,Rhythmic Gymnastics,Group All-Around,18,Silver Medal,GRYW5AA-----ISR01,5.0
6303,1908333,LAFOND Thea,Female,Dominica,Athletics,Womens Triple Jump,30,Gold Medal,,
6304,1908350,BOWEN Alex,Male,United States,Water Polo,Men,31,Bronze Medal,WPOMTEAM7---USA01,13.0
6305,1908352,CUPIDO Luca,Male,United States,Water Polo,Men,29,Bronze Medal,WPOMTEAM7---USA01,13.0
6306,1908353,DAUBE Hannes,Male,United States,Water Polo,Men,24,Bronze Medal,WPOMTEAM7---USA01,13.0
6307,1908354,DODD Chase William,Male,United States,Water Polo,Men,21,Bronze Medal,WPOMTEAM7---USA01,13.0
6308,1908355,DODD Ryder,Male,United States,Water Polo,Men,18,Bronze Medal,WPOMTEAM7---USA01,13.0
6309,1908357,HALLOCK Ben,Male,United States,Water Polo,Men,27,Bronze Medal,WPOMTEAM7---USA01,13.0
6310,1908359,HOLLAND Drew,Male,United States,Water Polo,Men,29,Bronze Medal,WPOMTEAM7---USA01,13.0
6311,1908360,HOOPER Johnny,Male,United States,Water Polo,Men,27,Bronze Medal,WPOMTEAM7---USA01,13.0
6312,1908361,IRVING Max,Male,United States,Water Polo,Men,29,Bronze Medal,WPOMTEAM7---USA01,13.0
6313,1908365,OBERT Alex,Male,United States,Water Polo,Men,33,Bronze Medal,WPOMTEAM7---USA01,13.0
6314,1908369,VAVIC Marko,Male,United States,Water Polo,Men,25,Bronze Medal,WPOMTEAM7---USA01,13.0
6315,1908370,WEINBERG Adrian,Male,United States,Water Polo,Men,23,Bronze Medal,WPOMTEAM7---USA01,13.0
6316,1908371,WOODHEAD Dylan,Male,United States,Water Polo,Men,26,Bronze Medal,WPOMTEAM7---USA01,13.0
6375,1908817,ALCANTARA REYES Yunior,Male,Dominican Republic,Boxing,Mens 51kg,20,Bronze Medal,,
6380,1908835,TEBA Iowane,Male,Fiji,Rugby Sevens,Men,31,Silver Medal,RU7MTEAM7---FIJ01,14.0
6381,1908838,TALACOLO Joseva,Male,Fiji,Rugby Sevens,Men,27,Silver Medal,RU7MTEAM7---FIJ01,14.0
6382,1908841,RASAKU Kaminieli,Male,Fiji,Rugby Sevens,Men,25,Silver Medal,RU7MTEAM7---FIJ01,14.0
6383,1908846,FENG Yu,Female,China,Artistic Swimming,Team,25,Gold Medal,SWAWTEAM8---CHN01,9.0
6384,1908847,CHANG Hao,Female,China,Artistic Swimming,Team,27,Gold Medal,SWAWTEAM8---CHN01,9.0
6385,1908848,CHENG Wentao,Female,China,Artistic Swimming,Team,26,Gold Medal,SWAWTEAM8---CHN01,9.0
6386,1908850,WANG Ciyue,Female,China,Artistic Swimming,Team,25,Gold Medal,SWAWTEAM8---CHN01,9.0
6387,1908851,ZHANG Yayi,Female,China,Artistic Swimming,Team,27,Gold Medal,SWAWTEAM8---CHN01,9.0
6388,1908852,WANG Liuyi,Female,China,Artistic Swimming,Team,27,Gold Medal,SWAWTEAM8---CHN01,9.0
6389,1908852,WANG Liuyi,Female,China,Artistic Swimming,Duet,27,Gold Medal,SWAWTEAM2---CHN01,2.0
6390,1908853,WANG Qianyi,Female,China,Artistic Swimming,Team,27,Gold Medal,SWAWTEAM8---CHN01,9.0
6391,1908853,WANG Qianyi,Female,China,Artistic Swimming,Duet,27,Gold Medal,SWAWTEAM2---CHN01,2.0
6392,1908854,XIAO Yanning,Female,China,Artistic Swimming,Team,26,Gold Medal,SWAWTEAM8---CHN01,9.0
6393,1908855,XIANG Binxuan,Female,China,Artistic Swimming,Team,23,Gold Medal,SWAWTEAM8---CHN01,9.0
6400,1908897,NASOVA Joji,Male,Fiji,Rugby Sevens,Men,24,Silver Medal,RU7MTEAM7---FIJ01,14.0
6401,1908901,SAUTURAGA Filipe,Male,Fiji,Rugby Sevens,Men,30,Silver Medal,RU7MTEAM7---FIJ01,14.0
6402,1908911,TUWAI Jerry,Male,Fiji,Rugby Sevens,Men,35,Silver Medal,RU7MTEAM7---FIJ01,14.0
6406,1909011,BOLTAEV Davlat,Male,Tajikistan,Boxing,Mens 92kg,25,Bronze Medal,,
6407,1909030,RASOVSZKY Kristof,Male,Hungary,Marathon Swimming,Mens 10km,27,Gold Medal,,
6448,1909209,KIRPICHNIKOVA Anastasiia,Female,France,Swimming,Womens 1500m Freestyle,24,Silver Medal,,
6490,1909278,FENTE--DAMERS Rafael,Male,France,Swimming,Mens 4 x 100m Medley Relay,18,Bronze Medal,SWMM4X100MMDFRA01,6.0
6495,1909284,GROUSSET Maxime,Male,France,Swimming,Mens 4 x 100m Medley Relay,25,Bronze Medal,SWMM4X100MMDFRA01,6.0
6502,1909292,MANAUDOU Florent,Male,France,Swimming,Mens 4 x 100m Medley Relay,34,Bronze Medal,SWMM4X100MMDFRA01,6.0
6503,1909292,MANAUDOU Florent,Male,France,Swimming,Mens 50m Freestyle,34,Bronze Medal,,
6504,1909294,MARCHAND Leon,Male,France,Swimming,Mens 200m Butterfly,22,Gold Medal,,
6505,1909294,MARCHAND Leon,Male,France,Swimming,Mens 200m Breaststroke,22,Gold Medal,,
6506,1909294,MARCHAND Leon,Male,France,Swimming,Mens 200m Individual Medley,22,Gold Medal,,
6507,1909294,MARCHAND Leon,Male,France,Swimming,Mens 400m Individual Medley,22,Gold Medal,,
6508,1909294,MARCHAND Leon,Male,France,Swimming,Mens 4 x 100m Medley Relay,22,Bronze Medal,SWMM4X100MMDFRA01,6.0
6512,1909299,NDOYE-BROUARD Yohann,Male,France,Swimming,Mens 4 x 100m Medley Relay,24,Bronze Medal,SWMM4X100MMDFRA01,6.0
